Vernon Dumas,May 27  1978  Dominica ,39 years 316 days,Windward Islands,,Right-hand bat,Right-arm offbreak,,
Austin Dummett,February 17  1923  Peters Hall  Georgetown  Demerara  British Guiana ,,British Guiana,,Left-hand bat,,November 3  1984  Guyana (aged 61 years 260 days) ,
Hilton Alexander Dummett,April 21  1917  Atlantic Ville  East Coast  Demerara  British Guiana ,,British Guiana,,Right-hand bat,Right-arm medium,December 4  1965  British Guiana (aged 48 years 227 days) ,
Clyde Rory Duncan,January 7  1954  Vreed-En-Hoop  Guyana ,,,,,,Umpire,
Sparrow Duncan,date unknown  Kingstown  St Vincent ,,Windward Islands,,Right-hand bat,Right-arm fast-medium,,
Henry Cecil Duncker,March 4  1885  Kingston  Jamaica ,,Jamaica,,,,details unknown ,
A Durand,date unknown ,,Dominica Women,,,,,
Mervin Durand,August 27  1960  Dominica ,57 years 224 days,Dominica ,Batsman,Left-hand bat,Slow left-arm orthodox,,
Clement Ashton Durant,September 17  1885  Cats Castle  St Michael  Barbados ,,Barbados,,,,circa 1947  Barbados ,
Bridget Durity,October 8  1951  Trinidad ,66 years 182 days,Trinidad &amp; Tobago,,,,,
Oscar McGregor Durity,August 14  1950  San Fernando  Trinidad ,67 years 237 days,Trinidad &amp; Tobago,,Left-hand bat,,,
Vibert Durjan,July 31  1948  Georgetown  Demerara  British Guiana ,69 years 251 days,Guyana,,Right-hand bat,Right-arm offbreak,,
Ananda Dwarika,December 17  1962  Trinidad ,55 years 112 days,Trinidad &amp; Tobago,,Left-hand bat,Slow left-arm chinaman,,
Denzil Dwarika,date unknown ,,South Trinidad,,,,,
Andre Martin Dwyer,March 27  1982  Manchester  Jamaica ,36 years 12 days,Jamaica,,Right-hand bat,Slow left-arm orthodox,,
Herbert Dyer,June 1  1930  Uitvlugt  West Coast  Demerara  British Guiana ,,British Guiana,,Right-hand bat,,April 16  1977  Guyana (aged 46 years 319 days) ,
Lloyd O'Brien Dyer,January 30  1942  St Elizabeth  Jamaica ,76 years 68 days,Jamaica,,Right-hand bat,,,
Kenrick Raymond Davis-Whyttle,October 17  1955  Mala Village  St. Vincent ,62 years 173 days,,,,,Brother - ,
Dornan Clinton Edward,October 28  1996 ,21 years 162 days,Windward Islands Under-19s,,Right-hand bat,Legbreak,,
Imtiaz Easahak,May 22  1972  Trinidad ,45 years 321 days,University of West Indies,,,Right-arm offbreak,,
Damian Ebanks,June 16  1987  St Ann  Jamaica ,30 years 296 days,Jamaica ,,Left-hand bat,,Occasional wicketkeeper,
Kirk Francois Ebanks,July 23  1968  Jamaica ,49 years 259 days,Jamaica,,Left-hand bat,Slow left-arm orthodox,,
W Eccles,date unknown ,,Trinidad &amp; Tobago,,,,,
J Eckstein,date unknown ,,Trinidad &amp; Tobago,,,,,
Victor Austin Eddy,February 14  1955  St Kitts ,63 years 53 days,Leeward Islands,,Right-hand bat,Right-arm offbreak,,
L Edgar,date unknown ,,Grenada Women,,,,,
David Edgehill,June 13  1955  Trinidad ,62 years 299 days,East Trinidad,,Right-hand bat,,,
Haile Edgings,date unknown ,,West Indies Young Cricketers,,,,,
Wilfred Khalil Edun,June 30  1930  Georgetown  Demerara  British Guiana ,,British Guiana,,Right-hand bat,Right-arm medium,June 17  1990  Georgetown  Demerara  Guyana (aged 59 years 352 days) ,
Ashlene Edward,November 29  1990  Sarrot ,27 years 130 days,St Lucia Women,,Right-hand bat,Right-arm medium,,
Dornan C Edward,date unknown ,,Windward Islands Under-19s,,,,,
Merlika Edward,November 18  1992 ,25 years 141 days,St Lucia Women,,Left-hand bat,,,
A Edwards,date unknown ,,St Lucia Women,,,,,
Corey Raymond Edwards,September 2  1983  Barbados ,34 years 218 days,Barbados ,,Right-hand bat,Right-arm medium-fast,,
Derryck Trevor Edwards,May 24  1968 ,49 years 319 days,Antigua ,Middle-order batsman,Right-hand bat,Right-arm medium-fast,,
Franklyn Edwards,date unknown ,,Leeward Islands,,Right-hand bat,Right-arm offbreak,,
Fidel Henderson Edwards,February 6  1982  Gays  St Peter  Barbados ,36 years 61 days,West Indies ,Bowler,Right-hand bat,Right-arm fast,Half-brother - ,
Juari Edwards,September 28  1982 ,35 years 192 days,Antigua and Barbuda ,,,,Wicketkeeper,
John Ralph Edwards,August 15  1909  Hastings  Christ Church  Barbados ,,Barbados,,Right-hand bat,Legbreak,July 12  1976  Beckles Road  St Michael  Barbados (aged 66 years 332 days) ,
Kirk Anton Edwards,November 3  1984  Barbados ,33 years 156 days,West Indies ,Batsman,Right-hand bat,Right-arm offbreak,,
Kevin Glendon Edwards,June 18  1962  Shieldstown  Berbice  British Guiana ,55 years 294 days,Guyana,,Right-hand bat,,Wicketkeeper,
Larry Migel Edwards,February 16  1995 ,23 years 51 days,West Indies Under-19s ,,Left-hand bat,Slow left-arm orthodox,,
Merlyn Edwards,date unknown ,,Trinidad &amp; Tobago Women ,,,,,
Richard Martin Edwards,June 3  1940  Garden Gap  Worthing  Christ Church  Barbados ,77 years 309 days,West Indies ,,Right-hand bat,Right-arm fast,,
Terence Edwards,date unknown ,,East Trinidad,,Right-hand bat,,,
V Edwards,date unknown ,,Leeward Islands,,,,,
Vernon Edwards,July 7  1950  Antigua ,67 years 275 days,Leeward Islands,,Right-hand bat,,,
Kerren Elder,March 3  1960  Trinidad ,58 years 36 days,North Trinidad,,,,,
Dwayne Anthony Elgin,March 10  1976 ,42 years 29 days,St Maarten,Batsman,Right-hand bat,Right-arm medium,,
Vivian Raphael Eli,July 13  1938  Roseau  Dominica ,79 years 269 days,Windward Islands,,Right-hand bat,Right-arm medium-fast,,
Bruce Eligon,date unknown ,,Trinidad &amp; Tobago,,,,,
Donald Eligon,1909  Trinidad ,,Trinidad &amp; Tobago,,Right-hand bat,Right-arm fast-medium,June 4  1937  Port of Spain  Trinidad (aged 28 years) ,
Sadisha Elizee,May 27  1994 ,23 years 316 days,St Lucia Women,,Left-hand bat,Right-arm offbreak,,
Dale Everson Ellcock,November 16  1967  Bridgetown  Barbados ,50 years 143 days,Barbados,,Right-hand bat,Right-arm fast-medium,Brother - ,
Greenidge Elliott,October 21  1861  River Side  St Michael  Barbados ,,Barbados,,Right-hand bat,,Brother - ,
Keila Oneika Elliott,December 18  1988 ,29 years 111 days,Barbados Women,,Right-hand bat,Legbreak,,
Yannick Ricardo Elliott,June 15  1986  Kingston  Jamaica ,31 years 297 days,Jamaica,,Right-hand bat,Right-arm offbreak,,
Gem Denee Valdeen Eloi,May 30  1992 ,25 years 313 days,Dominica Women,,Right-hand bat,,,
Elroy Francis jnr,date unknown ,,Antigua Masterblasters,,,,,
Russel Edward Elvin,December 27  1965  Trinidad ,52 years 102 days,Trinidad &amp; Tobago,,Left-hand bat,Right-arm fast-medium,,
Joseph Elvis,February 14  1924  Annamdale  East Coast  Demerara  British Guiana ,,British Guiana,,Right-hand bat,,June 3  1972  Guyana (aged 48 years 110 days) ,
Cecil Avendale Elwin,July 16  1955  Roseau  Dominica ,62 years 266 days,Windward Islands,,Right-hand bat,,,
Henry Peter Elwin,April 29  1943  Roseau  Dominica ,74 years 344 days,Windward Islands,,Right-hand bat,,,
Vincent John Elwin,December 11  1946  Roseau  Dominica ,71 years 118 days,Windward Islands,,Right-hand bat,Right-arm offbreak,,
Roselyn Emannuel,date unknown ,,West Indies Women,,,,,
S Emerson,date unknown ,,Guyana Women,,,,,
Elaine Emmanual,date unknown ,,Jamaica Women,,,,,
Craig Walt Emmanuel,September 9  1985  Mon Repos  St Lucia ,32 years 211 days,Combined Campuses and Colleges ,Batsman,Right-hand bat,Right-arm medium-fast,,
Rayad Ryan Emrit,March 8  1981  Mount Hope  St Joseph  Trinidad ,37 years 31 days,West Indies ,Allrounder,Right-hand bat,Right-arm medium-fast,,
James Bernard De Courcey Emtage,February 14  1902  The Lodge School  St John  Barbados ,,Barbados,,Right-hand bat,Right-arm medium  Legbreak,August 12  1995  Essex  England (aged 93 years 179 days) ,
Winston English,September 13  1943  Georgetown  Demerara  British Guiana ,74 years 207 days,Guyana,,Right-hand bat,Left-arm fast,,
Ernest Walter Estwick,March 9  1903  Mackenzie  West Bank  Demerara  British Guiana ,,British Guiana,,Left-hand bat,Slow left-arm orthodox,November 14  1984  Guyana (aged 81 years 250 days) ,
Roderick Orville Estwick,June 28  1961  Christchurch  Christ Church  Barbados ,56 years 284 days,Barbados ,,Right-hand bat,Right-arm fast-medium,Half-brother - ,
Javan Timothy Etienne,August 22  1962  Portsmouth  Dominica ,55 years 229 days,Windward Islands,,Right-hand bat,Slow left-arm orthodox,,
Marilyn Etienne,date unknown ,,Grenada Women,,,,,
Pearl Sharlin Etienne,June 7  1982  Goodwill  Dominica ,35 years 305 days,West Indies Women,,Right-hand bat,Right-arm medium,,
M Ettienne,date unknown ,,Grenada Women,,,,Wicketkeeper,
R Ettienne,date unknown ,,,,,,Umpire,
Ronald Richard Ettienne,November 19  1986  River View  Grenada ,31 years 140 days,Grenada ,Allrounder,Right-hand bat,Slow left-arm orthodox,,
Reginald Etwaroo,August 16  1949  Port Mourant  Berbice  British Guiana ,68 years 235 days,Berbice,,Right-hand bat,,,
Romain Etwaroo,December 16  1946  Port Mourant  Berbice  British Guiana ,71 years 113 days,Guyana,,Left-hand bat,Slow left-arm orthodox,,
Tyrone Ranjit Etwaroo,August 23  1959  Port Mourant  Berbice  British Guiana ,58 years 228 days,Guyana,,Right-hand bat,Right-arm offbreak,,
Phillippa Eudovic,date unknown ,,St Lucia Women,,,,,
Gregory Eugene,date unknown ,,East Trinidad,,Right-hand bat,Left-arm medium,,
John Eugene,August 16  1970  Gros Islet  St Lucia ,47 years 235 days,Northern Windward Islands ,,Right-hand bat,Right-arm offbreak,,
Johnnel Eugene,September 15  1999 ,18 years 205 days,Windward Islands Under-19s,,Right-hand bat,Right-arm fast-medium,,
Andrew Eusebe,March 5  1985 ,33 years 34 days,United States Virgin Islands,Allrounder,Right-hand bat,Right-arm medium,,
Robert Eustache,date unknown ,,North Trinidad,,,,,
Gaulbert Evans,May 12  1965 ,52 years 331 days,United States Virgin Islands,Allrounder,Left-hand bat,Right-arm offbreak,,
Hubern Joseph Evans,April 16  1956  Cotton Tree  West Coast  Berbice  British Guiana ,61 years 357 days,Guyana,,Right-hand bat,Right-arm medium,,
Patrick Evans,July 16  1960  Bartica  Essequibo  British Guiana ,57 years 266 days,Essequibo,,,,,
Steven Nernez Evans,September 17  1967 ,50 years 203 days,St Maarten,Wicketkeeper,Right-hand bat,,Wicketkeeper,
Patrick Woodman Stgeorge Evanson,March 16  1933  St John's  Antigua ,85 years 23 days,Leeward Islands,,Right-hand bat,,Wicketkeeper,
Edward Ernest Evelyn,December 27  1864  Harmony Hall  Christ Church  Barbados ,,Barbados,,,,details unknown ,
Tom A Ewart,date unknown ,,,,,,Umpire,
Ewart Nicholson,date unknown ,,Trinidad ,,,,,
Ellicent Fairweather,date unknown ,,Jamaica Women ,,Right-hand bat,Right-arm medium-fast,,
Clifford Fanis,July 4  1979 ,38 years 278 days,United States Virgin Islands,,,,,
Ronald Augustus Faria,August 2  1944  Trinidad ,73 years 249 days,Trinidad &amp; Tobago,,Left-hand bat,Right-arm medium,Wicketkeeper,
Stephen Wilfred Farmer,May 23  1950  Garrison  St Michael  Barbados ,67 years 320 days,Barbados,,Right-hand bat,Right-arm medium,,
Wilfred Arthur Farmer,October 7  1921  Clifden  St John  Barbados ,,Barbados,,Right-hand bat,Right-arm fast,February 25  1975  Bridgetown  Barbados (aged 53 years 141 days) ,
John Reginald Farnum,August 5  1883  Georgetown  Demarara ,,British Guiana,,Right-hand bat,,Wicketkeeper,
Charles Henry Campbell Farquharson,circa 1875  Santa Cruz  St Elizabeth  Jamaica ,,Jamaica,,,,circa 1948  May Pen  Clarendon  Jamaica ,
William George Robertson Farquharson,August 9  1864  Santa Cruz  St Elizabeth  Jamaica ,,Jamaica,,,,August 3  1928  Croydon  Surrey  England (aged 63 years 360 days) ,
Walter Henry King Farquharson,June 26  1859  Brampton Bryan  Santa Cruz  St Elizabeth ,,Jamaica,,,,January 21  1930  Little London  Westmoreland  Jamaica (aged 70 years 209 days) ,
Anthony Leroy Farrell,April 6  1949  Bush Hall  St. Michael  Barbados ,69 years 2 days,,,,,Umpire,
Gloria Farrell,date unknown ,,International XI Women,,,,,
Sergio Mendes Fedee,January 13  1983  Georgetown  Demerara  Guyana ,35 years 85 days,Northern Windward Islands ,Batsman,Left-hand bat,Right-arm medium,,
Patricia Felician,date unknown ,,Jamaica Women,,,,,
Verena Marcelle Felicien,November 12  1964  St Lucia ,53 years 147 days,West Indies Women,,Right-hand bat,Right-arm offbreak,,
Brian Felix,date unknown  Dominica ,,Windward Islands,,,,,
Carlyle Felix,September 5  1959  Grenada ,58 years 215 days,,,,,Umpire,
Keith Patrick Felix,May 5  1950  Castries  Saint Lucia ,67 years 338 days,,,,,Referee,
Marlison Felix,May 23  1987  Mabouya Valley ,30 years 320 days,St Lucia Women,,Right-hand bat,Right-arm offbreak,,
Oris Fergus,date unknown  Montserrat ,,Leeward Islands,,,,,
Roneila Sharisa Fergus,October 23  1988 ,29 years 167 days,St Vincent and the Grenadines Women,,Right-hand bat,Left-arm medium-fast,,
Philo Ferguson,date unknown ,,Trinidad &amp; Tobago,,,,,
Raymond Morris Ferguson,August 21  1969  Kingston  Jamaica ,48 years 230 days,Jamaica,,Right-hand bat,Right-arm offbreak,,
Wilfred Ferguson,December 14  1917  Longdenville  Trinidad ,,West Indies ,,Right-hand bat,Legbreak,February 23  1961  Port of Spain  Trinidad (aged 43 years 71 days) ,
Leslie Francis Fernandes,May 16  1938  Georgetown  Demerara  British Guiana ,,British Guiana,,Right-hand bat,,Father - ,
Maurius Pacheco Fernandes,August 12  1897  Georgetown  Demerara  British Guiana ,,West Indies ,,Right-hand bat,,Son - ,
Dion Orlanzo Ferrier,May 14  1980 ,37 years 329 days,Guyana,Allrounder,Right-hand bat,Right-arm offbreak,,
George John Fitzgerald Ferris,October 18  1964  Urlings Village  Antigua ,53 years 172 days,Leeward Islands ,,Right-hand bat,Right-arm fast,Cousin - ,
Joslyn Marcia Ferrol,January 12  1989 ,29 years 86 days,Dominica Women,,Right-hand bat,Right-arm medium,,
Laurie George Fidee,July 7  1921  Kingston  Jamaica ,96 years 275 days,Jamaica,,Right-hand bat,,,
Walter Sydney Herbert Fields,March 16  1879  White Park Road  St Michael  Barbados ,,Barbados,,,,February 7  1942  Kensington New Road  St Michael  Barbados (aged 62 years 328 days) ,
Paul Figueria,June 28  1959  Trinidad ,58 years 284 days,North Trinidad,,,,,
Shawn Eli Findlay,March 3  1984  Mandeville  Jamaica ,34 years 36 days,West Indies ,Batsman,Left-hand bat,Right-arm medium,,
Thaddeus Michael Findlay,October 19  1943  Troumaca  St Vincent ,74 years 171 days,West Indies ,,Right-hand bat,,Wicketkeeper,
David Fingall,June 3  1954  New Amsterdam  West Bank  Berbice  British Guiana ,63 years 309 days,Berbice,,Right-hand bat,Right-arm fast,,
Alexander Finlayson,date unknown ,,British Guiana,,Right-hand bat,,November 21  1889  Dowanhill  Glasgow  Lanarkshire  Scotland ,
H Fitt,date unknown ,,Trinidad &amp; Tobago,,,,,
T C Fitzherbert,date unknown ,,Trinidad &amp; Tobago,,,,,
Delbert Fitzpatrick,November 12  1919  Trinidad ,98 years 147 days,Trinidad &amp; Tobago,,Right-hand bat,,Wicketkeeper,
Hyacinth Flemmings,date unknown ,,Jamaica Women,,,,,
Andre David Stephon Fletcher,November 28  1987  La Tante  Grenada ,30 years 131 days,West Indies ,Wicketkeeper batsman,Right-hand bat,Right-arm medium-fast  Legbreak,Wicketkeeper,
Afy Samantha Sharlyn Fletcher,March 17  1987  Grenada ,31 years 22 days,West Indies Women,,Right-hand bat,Legbreak,,
Cecil Fletcher,September 9  1946  Duncans  Trelawny  Jamaica ,71 years 211 days,West Indies,,,,Umpire,
Colin Worrell Fletcher,February 22  1953  Rae Town  Kingston  Jamaica ,65 years 45 days,Jamaica,,Right-hand bat,Right-arm medium,,
Terrence William Fletcher,March 19  1875  Georgetown  Demerara  British Guiana ,,British Guiana,,Right-hand bat,,May 18  1932  British Guiana (aged 57 years 60 days) ,
John Florent,February 13  1977 ,41 years 54 days,United States Virgin Islands,Allrounder,Right-hand bat,Right-arm slow-medium,,
Castell Folkes,July 29  1944  Kingston  Jamaica ,73 years 253 days,Jamaica,,Right-hand bat,Right-arm fast-medium,,
Clifton Ricardon Folkes,September 16  1970  St Elizabeth  Jamaica ,47 years 204 days,Jamaica,,Right-hand bat,Right-arm fast-medium,,
Jonathan Alexander Foo,September 11  1990  Port Mourant  Berbice ,27 years 209 days,Guyana ,Top-order batsman,Right-hand bat,Legbreak googly,,
Fabian Kevin Forbes,June 10  1983 ,34 years 302 days,Jamaica,,Right-hand bat,Right-arm medium-fast,,
Rupert Forbes,date unknown ,,South Trinidad,,,,,
Shane George Bancroft Ford,September 8  1969  Kingston  Jamaica ,48 years 212 days,Jamaica,,Right-hand bat,,Wicketkeeper,
Dadrian Aundre Forde,November 2  1984 ,33 years 157 days,Barbados,Wicketkeeper,Right-hand bat,,Wicketkeeper,
Kelvin Forde,date unknown ,,East Trinidad,,Right-hand bat,Right-arm fast-medium,,
Lester Forde,1960  Barbados ,,West Indies Young Cricketers,,,,September 29  1989  Barbados (aged 29 years) ,
McDonald Forde,date unknown ,,Trinidad &amp; Tobago,,Right-hand bat,Right-arm fast-medium,,
Orin Herman Forde,August 8  1984  Guyana ,33 years 243 days,Guyana,Bowler,Right-hand bat,Right-arm offbreak,,
Patrick Carlwin Forde,December 13  1904  Georgetown  Demerara  British Guiana ,,British Guiana,,Right-hand bat,,September 7  1945  British Guiana (aged 40 years 268 days) ,
S Forsythe,date unknown ,,,,,,Umpire,
I Forte,date unknown ,,Barbados Women,,,,,
Aria P Fortune,January 21  1992 ,26 years 77 days,Grenada Women ,,Right-hand bat,Right-arm medium-fast,,
W C Fortune,date unknown ,,WC Shepherd's XI,,,,,
Campbell Seymore Foster,November 2  1914  The Garrison  St Michael  Barbados ,,Barbados,,,,Umpire,
Frederick Adolphus Foster,March 23  1882  Clarendon  Jamaica ,,Jamaica,,,,circa 1955  Windward Road  Kingston  Jamaica ,
Gerald Claude Eugene Foster,November 30  1885 ,,Jamaica,,,,1966  Kingston  Jamaica (aged 80 years) ,
Geoffrey Michael Foster,April 5  1935  Bayville  St Michael  Barbados ,83 years 3 days,Barbados,,Left-hand bat,Slow left-arm orthodox,,
Hazel-Ann Marie Foster,December 17  1981  Asburton Village  Belair ,36 years 112 days,St Vincent and the Grenadines Women,,Right-hand bat,Right-arm medium,,
Maurice Linton Churchill Foster,May 9  1943  Retreat  St Mary  Jamaica ,74 years 334 days,West Indies ,,Right-hand bat,Right-arm offbreak,,
Neville Leon Foster,June 9  1913  The Garrison  St Michael  Barbados ,,Barbados,,Right-hand bat,Right-arm medium,April 19  1991  Auckland  New Zealand (aged 77 years 314 days) ,
O Foster,date unknown ,,,,,,Umpire,
Robert Charles Benjamin Foster,October 23  1880  Cross Roads  Kingston  Jamaica ,,Jamaica,,,,Wicketkeeper,
Teddy Fernando Foster,May 5  1955  Chase Land  Tweedside Road  St Michael  Barbados ,62 years 338 days,Barbados,,Right-hand bat,Slow left-arm orthodox,,
Walter Michael Foster,May 24  1915  Beckles Road  Bayville  St Michael  Barbados ,102 years 319 days,Barbados,,Right-hand bat,Right-arm fast,,
Zeniffe Levar Fowler,November 8  1987  Jamaica ,30 years 151 days,Jamaica ,,Right-hand bat,,,
Akeem Fox,date unknown ,,St Kitts &amp; Nevis,,,,,
Earl Fraites,September 6  1953  St Lucia ,64 years 214 days,Windward Islands,,Left-hand bat,Right-arm offbreak,,
Clement Francis,date unknown  Antigua ,,Leeward Islands,,,,,
Ezekiel Francis,May 23  1985  Dominica ,32 years 320 days,Dominica ,Bowler,Left-hand bat,,,
Edward Francis,date unknown ,,Windward Islands,,,,,
George Nathaniel Francis,December 11  1897  Trents  St James  Barbados ,,West Indies ,,Right-hand bat,Right-arm fast,birth registered as John Nathaniel Francis,
H Francis,date unknown ,,East Trinidad,,,Slow left-arm orthodox,,
K Francis,date unknown ,,Dominica Women,,,,,
Martial Leeds Francis,January 10  1953  St Lucia ,65 years 88 days,Windward Islands,,Right-hand bat,Right-arm offbreak,,
Nigel Bernard Francis,September 6  1971  Diego Martin  Trinidad ,46 years 214 days,Marylebone Cricket Club ,,Right-hand bat,Right-arm fast,,
Paulina Francis,January 8  1996 ,22 years 90 days,St Lucia Women,,Right-hand bat,Legbreak,,
Prince Audley Francis,July 15  1957  Ocho Rios  St Ann  Jamaica ,60 years 267 days,Jamaica,,Left-hand bat,,Wicketkeeper,
Ramone Livingston Francis,June 24  1997 ,20 years 288 days,Jamaica Under-19s,,Right-hand bat,Right-arm offbreak,,
Samuel Adolphus Francis,February 8  1958  St Vincent ,60 years 59 days,Jamaica,,Right-hand bat,Legbreak googly,,
Greg Francois,March 11  1981  Toucarie Village  Dominica ,37 years 28 days,West Indies,,Right-hand bat,,Wicketkeeper,
Greg Francois,March 11  1981  Toucarie Village  Dominica ,37 years 28 days,West Indies Under-19s,,Right-hand bat,,Wicketkeeper,
Raydon Paul Franklin,November 30  1930  Georgetown  Demerara  British Guiana ,87 years 129 days,British Guiana,,Right-hand bat,Right-arm offbreak,,
Tunley Obel Franklyn,August 15  1960  St. Thomas  Barbados ,57 years 236 days,West Indies,,,,Umpire,
Cosmos Fraser,date unknown ,,South Trinidad,,,,,
Cyril Fraser,date unknown ,,Trinidad &amp; Tobago,,Right-hand bat,Legbreak,,
Edward Alcott Fraser,July 11  1881  Melanie Damishana  East Coast  Demerara  British Guiana ,,British Guiana,,Right-hand bat,,February 21  1933  British Guiana (aged 51 years 225 days) ,
Harold Andrew Fraser,July 4  1915  Wismer  Linden  East Bank  Demerara ,,British Guiana,,Right-hand bat,Legbreak googly,July 3  1993  Port of Spain  Trinidad (aged 77 years 364 days) ,
